year_month,month_of_release,passenger_type,direction,sex,age,estimate,standard_error,status
2019-08,2019-10,Long-term migrant,Net,Male,45-49 years,148,24,Provisional
2019-08,2019-10,Long-term migrant,Net,Male,50-54 years,50,21,Provisional
2019-08,2019-10,Long-term migrant,Net,Male,55-59 years,17,20,Provisional
2019-08,2019-10,Long-term migrant,Net,Male,5-9 years,203,20,Provisional
2019-08,2019-10,Long-term migrant,Net,Male,60-64 years,47,20,Provisional
2019-08,2019-10,Long-term migrant,Net,Male,65-69 years,31,21,Provisional
2019-08,2019-10,Long-term migrant,Net,Male,70-74 years,11,14,Provisional
2019-08,2019-10,Long-term migrant,Net,Male,75-79 years,-2,12,Provisional
2019-08,2019-10,Long-term migrant,Net,Male,80-84 years,-3,7,Provisional
2019-08,2019-10,Long-term migrant,Net,Male,85-89 years,-1,3,Provisional
2019-08,2019-10,Long-term migrant,Net,Male,90+ years,0,1,Provisional
2019-08,2019-10,Long-term migrant,Net,Male,TOTAL,2381,174,Provisional
2019-08,2019-10,Long-term migrant,Net,TOTAL,0-4 years,386,54,Provisional
2019-08,2019-10,Long-term migrant,Net,TOTAL,10-14 years,365,28,Provisional
2019-08,2019-10,Long-term migrant,Net,TOTAL,15-19 years,212,35,Provisional
2019-08,2019-10,Long-term migrant,Net,TOTAL,20-24 years,224,68,Provisional
2019-08,2019-10,Long-term migrant,Net,TOTAL,25-29 years,650,67,Provisional
2019-08,2019-10,Long-term migrant,Net,TOTAL,30-34 years,728,55,Provisional
2019-08,2019-10,Long-term migrant,Net,TOTAL,35-39 years,613,47,Provisional
2019-08,2019-10,Long-term migrant,Net,TOTAL,40-44 years,388,37,Provisional
2019-08,2019-10,Long-term migrant,Net,TOTAL,45-49 years,240,36,Provisional
2019-08,2019-10,Long-term migrant,Net,TOTAL,50-54 years,89,32,Provisional
2019-08,2019-10,Long-term migrant,Net,TOTAL,55-59 years,53,34,Provisional
2019-08,2019-10,Long-term migrant,Net,TOTAL,5-9 years,415,33,Provisional
2019-08,2019-10,Long-term migrant,Net,TOTAL,60-64 years,87,33,Provisional
2019-08,2019-10,Long-term migrant,Net,TOTAL,65-69 years,43,33,Provisional
2019-08,2019-10,Long-term migrant,Net,TOTAL,70-74 years,13,24,Provisional
2019-08,2019-10,Long-term migrant,Net,TOTAL,75-79 years,0,20,Provisional
2019-08,2019-10,Long-term migrant,Net,TOTAL,80-84 years,-9,13,Provisional
2019-08,2019-10,Long-term migrant,Net,TOTAL,85-89 years,1,6,Provisional
2019-08,2019-10,Long-term migrant,Net,TOTAL,90+ years,3,2,Provisional
2019-08,2019-10,Long-term migrant,Net,TOTAL,TOTAL,4502,308,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,Female,0-4 years,419,18,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,Female,10-14 years,302,11,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,Female,15-19 years,312,17,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,Female,20-24 years,667,22,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,Female,25-29 years,1132,32,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,Female,30-34 years,790,23,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,Female,35-39 years,508,19,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,Female,40-44 years,315,15,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,Female,45-49 years,228,15,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,Female,50-54 years,166,14,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,Female,55-59 years,171,16,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,Female,5-9 years,383,12,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,Female,60-64 years,150,15,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,Female,65-69 years,86,14,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,Female,70-74 years,45,9,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,Female,75-79 years,22,6,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,Female,80-84 years,7,3,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,Female,85-89 years,7,2,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,Female,90+ years,4,2,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,Female,TOTAL,5714,106,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,Male,0-4 years,472,20,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,Male,10-14 years,263,10,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,Male,15-19 years,327,15,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,Male,20-24 years,737,22,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,Male,25-29 years,951,28,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,Male,30-34 years,822,26,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,Male,35-39 years,654,23,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,Male,40-44 years,461,20,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,Male,45-49 years,293,17,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,Male,50-54 years,178,14,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,Male,55-59 years,131,16,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,Male,5-9 years,395,13,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,Male,60-64 years,138,16,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,Male,65-69 years,98,15,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,Male,70-74 years,48,11,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,Male,75-79 years,19,5,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,Male,80-84 years,9,3,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,Male,85-89 years,3,2,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,Male,90+ years,0,0,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,Male,TOTAL,5997,109,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,TOTAL,0-4 years,890,32,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,TOTAL,10-14 years,565,17,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,TOTAL,15-19 years,640,26,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,TOTAL,20-24 years,1404,35,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,TOTAL,25-29 years,2083,49,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,TOTAL,30-34 years,1612,40,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,TOTAL,35-39 years,1161,34,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,TOTAL,40-44 years,775,28,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,TOTAL,45-49 years,521,25,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,TOTAL,50-54 years,344,22,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,TOTAL,55-59 years,302,27,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,TOTAL,5-9 years,777,20,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,TOTAL,60-64 years,288,27,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,TOTAL,65-69 years,184,25,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,TOTAL,70-74 years,94,17,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,TOTAL,75-79 years,41,9,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,TOTAL,80-84 years,16,4,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,TOTAL,85-89 years,10,3,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,TOTAL,90+ years,4,2,Provisional
2019-08,2019-11,Long-term migrant,Arrivals,TOTAL,TOTAL,11712,190,Provisional
2019-08,2019-11,Long-term migrant,Departures,Female,0-4 years,241,18,Provisional
2019-08,2019-11,Long-term migrant,Departures,Female,10-14 years,111,9,Provisional
2019-08,2019-11,Long-term migrant,Departures,Female,15-19 years,233,16,Provisional
2019-08,2019-11,Long-term migrant,Departures,Female,20-24 years,640,28,Provisional
2019-08,2019-11,Long-term migrant,Departures,Female,25-29 years,747,28,Provisional
2019-08,2019-11,Long-term migrant,Departures,Female,30-34 years,487,23,Provisional
2019-08,2019-11,Long-term migrant,Departures,Female,35-39 years,315,18,Provisional
2019-08,2019-11,Long-term migrant,Departures,Female,40-44 years,207,14,Provisional
2019-08,2019-11,Long-term migrant,Departures,Female,45-49 years,164,14,Provisional
2019-08,2019-11,Long-term migrant,Departures,Female,50-54 years,138,14,Provisional
2019-08,2019-11,Long-term migrant,Departures,Female,55-59 years,123,16,Provisional
2019-08,2019-11,Long-term migrant,Departures,Female,5-9 years,197,14,Provisional
2019-08,2019-11,Long-term migrant,Departures,Female,60-64 years,93,14,Provisional
2019-08,2019-11,Long-term migrant,Departures,Female,65-69 years,66,20,Provisional
2019-08,2019-11,Long-term migrant,Departures,Female,70-74 years,39,13,Provisional
2019-08,2019-11,Long-term migrant,Departures,Female,75-79 years,22,9,Provisional
2019-08,2019-11,Long-term migrant,Departures,Female,80-84 years,14,6,Provisional
2019-08,2019-11,Long-term migrant,Departures,Female,85-89 years,5,2,Provisional
2019-08,2019-11,Long-term migrant,Departures,Female,90+ years,1,1,Provisional
2019-08,2019-11,Long-term migrant,Departures,Female,TOTAL,3842,117,Provisional
2019-08,2019-11,Long-term migrant,Departures,Male,0-4 years,263,18,Provisional
2019-08,2019-11,Long-term migrant,Departures,Male,10-14 years,130,9,Provisional
2019-08,2019-11,Long-term migrant,Departures,Male,15-19 years,217,15,Provisional
2019-08,2019-11,Long-term migrant,Departures,Male,20-24 years,586,24,Provisional
2019-08,2019-11,Long-term migrant,Departures,Male,25-29 years,786,29,Provisional
2019-08,2019-11,Long-term migrant,Departures,Male,30-34 years,530,25,Provisional
2019-08,2019-11,Long-term migrant,Departures,Male,35-39 years,328,19,Provisional
2019-08,2019-11,Long-term migrant,Departures,Male,40-44 years,230,15,Provisional
2019-08,2019-11,Long-term migrant,Departures,Male,45-49 years,164,16,Provisional
2019-08,2019-11,Long-term migrant,Departures,Male,50-54 years,138,16,Provisional
2019-08,2019-11,Long-term migrant,Departures,Male,55-59 years,107,16,Provisional
2019-08,2019-11,Long-term migrant,Departures,Male,5-9 years,205,13,Provisional
2019-08,2019-11,Long-term migrant,Departures,Male,60-64 years,78,13,Provisional
2019-08,2019-11,Long-term migrant,Departures,Male,65-69 years,57,17,Provisional
2019-08,2019-11,Long-term migrant,Departures,Male,70-74 years,32,13,Provisional
2019-08,2019-11,Long-term migrant,Departures,Male,75-79 years,19,9,Provisional
2019-08,2019-11,Long-term migrant,Departures,Male,80-84 years,12,6,Provisional
2019-08,2019-11,Long-term migrant,Departures,Male,85-89 years,4,2,Provisional
2019-08,2019-11,Long-term migrant,Departures,Male,90+ years,0,0,Provisional
2019-08,2019-11,Long-term migrant,Departures,Male,TOTAL,3886,120,Provisional
2019-08,2019-11,Long-term migrant,Departures,TOTAL,0-4 years,503,31,Provisional
2019-08,2019-11,Long-term migrant,Departures,TOTAL,10-14 years,241,14,Provisional
2019-08,2019-11,Long-term migrant,Departures,TOTAL,15-19 years,451,25,Provisional
2019-08,2019-11,Long-term migrant,Departures,TOTAL,20-24 years,1226,43,Provisional
2019-08,2019-11,Long-term migrant,Departures,TOTAL,25-29 years,1533,48,Provisional
2019-08,2019-11,Long-term migrant,Departures,TOTAL,30-34 years,1017,39,Provisional
2019-08,2019-11,Long-term migrant,Departures,TOTAL,35-39 years,643,29,Provisional
2019-08,2019-11,Long-term migrant,Departures,TOTAL,40-44 years,437,24,Provisional
2019-08,2019-11,Long-term migrant,Departures,TOTAL,45-49 years,329,24,Provisional
2019-08,2019-11,Long-term migrant,Departures,TOTAL,50-54 years,276,25,Provisional
2019-08,2019-11,Long-term migrant,Departures,TOTAL,55-59 years,230,28,Provisional
2019-08,2019-11,Long-term migrant,Departures,TOTAL,5-9 years,402,23,Provisional
2019-08,2019-11,Long-term migrant,Departures,TOTAL,60-64 years,171,24,Provisional
2019-08,2019-11,Long-term migrant,Departures,TOTAL,65-69 years,123,35,Provisional
2019-08,2019-11,Long-term migrant,Departures,TOTAL,70-74 years,71,24,Provisional
2019-08,2019-11,Long-term migrant,Departures,TOTAL,75-79 years,41,17,Provisional
2019-08,2019-11,Long-term migrant,Departures,TOTAL,80-84 years,26,11,Provisional
2019-08,2019-11,Long-term migrant,Departures,TOTAL,85-89 years,9,4,Provisional
2019-08,2019-11,Long-term migrant,Departures,TOTAL,90+ years,1,1,Provisional
2019-08,2019-11,Long-term migrant,Departures,TOTAL,TOTAL,7728,217,Provisional
2019-08,2019-11,Long-term migrant,Net,Female,0-4 years,178,22,Provisional
2019-08,2019-11,Long-term migrant,Net,Female,10-14 years,191,13,Provisional
2019-08,2019-11,Long-term migrant,Net,Female,15-19 years,79,21,Provisional
2019-08,2019-11,Long-term migrant,Net,Female,20-24 years,27,32,Provisional
2019-08,2019-11,Long-term migrant,Net,Female,25-29 years,384,38,Provisional
2019-08,2019-11,Long-term migrant,Net,Female,30-34 years,303,32,Provisional
2019-08,2019-11,Long-term migrant,Net,Female,35-39 years,193,24,Provisional
2019-08,2019-11,Long-term migrant,Net,Female,40-44 years,107,18,Provisional
2019-08,2019-11,Long-term migrant,Net,Female,45-49 years,64,19,Provisional
2019-08,2019-11,Long-term migrant,Net,Female,50-54 years,28,19,Provisional
2019-08,2019-11,Long-term migrant,Net,Female,55-59 years,48,20,Provisional
2019-08,2019-11,Long-term migrant,Net,Female,5-9 years,186,17,Provisional
2019-08,2019-11,Long-term migrant,Net,Female,60-64 years,58,19,Provisional
2019-08,2019-11,Long-term migrant,Net,Female,65-69 years,20,20,Provisional
2019-08,2019-11,Long-term migrant,Net,Female,70-74 years,6,13,Provisional
2019-08,2019-11,Long-term migrant,Net,Female,75-79 years,0,9,Provisional
2019-08,2019-11,Long-term migrant,Net,Female,80-84 years,-7,6,Provisional
2019-08,2019-11,Long-term migrant,Net,Female,85-89 years,3,3,Provisional
2019-08,2019-11,Long-term migrant,Net,Female,90+ years,4,2,Provisional
2019-08,2019-11,Long-term migrant,Net,Female,TOTAL,1872,137,Provisional
2019-08,2019-11,Long-term migrant,Net,Male,0-4 years,209,23,Provisional
2019-08,2019-11,Long-term migrant,Net,Male,10-14 years,133,13,Provisional
2019-08,2019-11,Long-term migrant,Net,Male,15-19 years,110,19,Provisional
2019-08,2019-11,Long-term migrant,Net,Male,20-24 years,151,30,Provisional
2019-08,2019-11,Long-term migrant,Net,Male,25-29 years,165,36,Provisional
2019-08,2019-11,Long-term migrant,Net,Male,30-34 years,292,34,Provisional
2019-08,2019-11,Long-term migrant,Net,Male,35-39 years,326,27,Provisional
2019-08,2019-11,Long-term migrant,Net,Male,40-44 years,231,24,Provisional
2019-08,2019-11,Long-term migrant,Net,Male,45-49 years,128,21,Provisional
2019-08,2019-11,Long-term migrant,Net,Male,50-54 years,40,20,Provisional
2019-08,2019-11,Long-term migrant,Net,Male,55-59 years,23,18,Provisional
2019-08,2019-11,Long-term migrant,Net,Male,5-9 years,190,17,Provisional
2019-08,2019-11,Long-term migrant,Net,Male,60-64 years,60,18,Provisional
2019-08,2019-11,Long-term migrant,Net,Male,65-69 years,41,19,Provisional
2019-08,2019-11,Long-term migrant,Net,Male,70-74 years,17,13,Provisional
2019-08,2019-11,Long-term migrant,Net,Male,75-79 years,-1,9,Provisional
2019-08,2019-11,Long-term migrant,Net,Male,80-84 years,-3,6,Provisional
2019-08,2019-11,Long-term migrant,Net,Male,85-89 years,-1,2,Provisional
2019-08,2019-11,Long-term migrant,Net,Male,90+ years,0,0,Provisional
2019-08,2019-11,Long-term migrant,Net,Male,TOTAL,2111,141,Provisional
2019-08,2019-11,Long-term migrant,Net,TOTAL,0-4 years,387,39,Provisional
2019-08,2019-11,Long-term migrant,Net,TOTAL,10-14 years,324,20,Provisional
2019-08,2019-11,Long-term migrant,Net,TOTAL,15-19 years,189,32,Provisional
2019-08,2019-11,Long-term migrant,Net,TOTAL,20-24 years,178,49,Provisional
2019-08,2019-11,Long-term migrant,Net,TOTAL,25-29 years,550,60,Provisional
2019-08,2019-11,Long-term migrant,Net,TOTAL,30-34 years,596,52,Provisional
2019-08,2019-11,Long-term migrant,Net,TOTAL,35-39 years,519,40,Provisional
2019-08,2019-11,Long-term migrant,Net,TOTAL,40-44 years,338,33,Provisional
2019-08,2019-11,Long-term migrant,Net,TOTAL,45-49 years,192,32,Provisional
2019-08,2019-11,Long-term migrant,Net,TOTAL,50-54 years,68,31,Provisional
2019-08,2019-11,Long-term migrant,Net,TOTAL,55-59 years,71,31,Provisional
2019-08,2019-11,Long-term migrant,Net,TOTAL,5-9 years,375,27,Provisional
2019-08,2019-11,Long-term migrant,Net,TOTAL,60-64 years,118,31,Provisional
2019-08,2019-11,Long-term migrant,Net,TOTAL,65-69 years,61,34,Provisional
2019-08,2019-11,Long-term migrant,Net,TOTAL,70-74 years,23,22,Provisional
2019-08,2019-11,Long-term migrant,Net,TOTAL,75-79 years,0,15,Provisional
2019-08,2019-11,Long-term migrant,Net,TOTAL,80-84 years,-10,10,Provisional
2019-08,2019-11,Long-term migrant,Net,TOTAL,85-89 years,2,4,Provisional
2019-08,2019-11,Long-term migrant,Net,TOTAL,90+ years,4,2,Provisional
2019-08,2019-11,Long-term migrant,Net,TOTAL,TOTAL,3984,252,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Female,0-4 years,405,13,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Female,10-14 years,302,11,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Female,15-19 years,315,15,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Female,20-24 years,677,23,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Female,25-29 years,1131,32,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Female,30-34 years,780,21,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Female,35-39 years,510,17,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Female,40-44 years,306,13,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Female,45-49 years,216,12,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Female,50-54 years,159,12,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Female,55-59 years,152,13,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Female,5-9 years,379,12,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Female,60-64 years,135,13,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Female,65-69 years,81,10,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Female,70-74 years,42,7,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Female,75-79 years,20,5,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Female,80-84 years,6,2,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Female,85-89 years,8,2,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Female,90+ years,4,1,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Female,TOTAL,5626,84,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Male,0-4 years,455,15,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Male,10-14 years,264,10,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Male,15-19 years,335,15,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Male,20-24 years,733,22,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Male,25-29 years,959,30,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Male,30-34 years,843,24,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Male,35-39 years,670,20,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Male,40-44 years,487,17,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Male,45-49 years,297,15,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Male,50-54 years,171,12,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Male,55-59 years,124,12,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Male,5-9 years,388,12,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Male,60-64 years,127,12,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Male,65-69 years,95,11,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Male,70-74 years,47,8,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Male,75-79 years,19,5,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Male,80-84 years,10,3,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Male,85-89 years,3,1,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Male,90+ years,0,0,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,Male,TOTAL,6027,94,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,TOTAL,0-4 years,860,23,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,TOTAL,10-14 years,566,17,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,TOTAL,15-19 years,651,24,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,TOTAL,20-24 years,1410,36,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,TOTAL,25-29 years,2090,51,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,TOTAL,30-34 years,1623,36,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,TOTAL,35-39 years,1180,31,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,TOTAL,40-44 years,793,25,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,TOTAL,45-49 years,513,23,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,TOTAL,50-54 years,330,19,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,TOTAL,55-59 years,276,20,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,TOTAL,5-9 years,767,19,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,TOTAL,60-64 years,262,21,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,TOTAL,65-69 years,175,18,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,TOTAL,70-74 years,89,12,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,TOTAL,75-79 years,39,7,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,TOTAL,80-84 years,16,4,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,TOTAL,85-89 years,11,3,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,TOTAL,90+ years,4,2,Provisional
2019-08,2019-12,Long-term migrant,Arrivals,TOTAL,TOTAL,11653,154,Provisional
2019-08,2019-12,Long-term migrant,Departures,Female,0-4 years,227,12,Provisional
2019-08,2019-12,Long-term migrant,Departures,Female,10-14 years,88,7,Provisional
2019-08,2019-12,Long-term migrant,Departures,Female,15-19 years,240,14,Provisional
2019-08,2019-12,Long-term migrant,Departures,Female,20-24 years,628,23,Provisional
2019-08,2019-12,Long-term migrant,Departures,Female,25-29 years,664,22,Provisional
2019-08,2019-12,Long-term migrant,Departures,Female,30-34 years,404,17,Provisional
2019-08,2019-12,Long-term migrant,Departures,Female,35-39 years,258,14,Provisional
2019-08,2019-12,Long-term migrant,Departures,Female,40-44 years,167,10,Provisional
2019-08,2019-12,Long-term migrant,Departures,Female,45-49 years,122,10,Provisional
2019-08,2019-12,Long-term migrant,Departures,Female,50-54 years,106,10,Provisional
2019-08,2019-12,Long-term migrant,Departures,Female,55-59 years,98,10,Provisional
2019-08,2019-12,Long-term migrant,Departures,Female,5-9 years,171,10,Provisional
2019-08,2019-12,Long-term migrant,Departures,Female,60-64 years,80,9,Provisional
2019-08,2019-12,Long-term migrant,Departures,Female,65-69 years,51,7,Provisional
2019-08,2019-12,Long-term migrant,Departures,Female,70-74 years,31,6,Provisional
2019-08,2019-12,Long-term migrant,Departures,Female,75-79 years,17,4,Provisional
2019-08,2019-12,Long-term migrant,Departures,Female,80-84 years,11,3,Provisional
2019-08,2019-12,Long-term migrant,Departures,Female,85-89 years,5,2,Provisional
2019-08,2019-12,Long-term migrant,Departures,Female,90+ years,1,1,Provisional
2019-08,2019-12,Long-term migrant,Departures,Female,TOTAL,3370,70,Provisional
2019-08,2019-12,Long-term migrant,Departures,Male,0-4 years,239,13,Provisional
2019-08,2019-12,Long-term migrant,Departures,Male,10-14 years,118,8,Provisional
2019-08,2019-12,Long-term migrant,Departures,Male,15-19 years,239,14,Provisional
2019-08,2019-12,Long-term migrant,Departures,Male,20-24 years,592,20,Provisional
2019-08,2019-12,Long-term migrant,Departures,Male,25-29 years,735,23,Provisional
2019-08,2019-12,Long-term migrant,Departures,Male,30-34 years,457,18,Provisional
2019-08,2019-12,Long-term migrant,Departures,Male,35-39 years,281,14,Provisional
2019-08,2019-12,Long-term migrant,Departures,Male,40-44 years,202,13,Provisional
2019-08,2019-12,Long-term migrant,Departures,Male,45-49 years,139,11,Provisional
2019-08,2019-12,Long-term migrant,Departures,Male,50-54 years,120,12,Provisional
2019-08,2019-12,Long-term migrant,Departures,Male,55-59 years,92,11,Provisional
2019-08,2019-12,Long-term migrant,Departures,Male,5-9 years,185,10,Provisional
2019-08,2019-12,Long-term migrant,Departures,Male,60-64 years,66,9,Provisional
2019-08,2019-12,Long-term migrant,Departures,Male,65-69 years,47,8,Provisional
2019-08,2019-12,Long-term migrant,Departures,Male,70-74 years,25,6,Provisional
2019-08,2019-12,Long-term migrant,Departures,Male,75-79 years,14,4,Provisional
2019-08,2019-12,Long-term migrant,Departures,Male,80-84 years,10,3,Provisional
2019-08,2019-12,Long-term migrant,Departures,Male,85-89 years,4,2,Provisional
2019-08,2019-12,Long-term migrant,Departures,Male,90+ years,0,0,Provisional
2019-08,2019-12,Long-term migrant,Departures,Male,TOTAL,3567,75,Provisional
2019-08,2019-12,Long-term migrant,Departures,TOTAL,0-4 years,466,20,Provisional
2019-08,2019-12,Long-term migrant,Departures,TOTAL,10-14 years,206,11,Provisional
2019-08,2019-12,Long-term migrant,Departures,TOTAL,15-19 years,480,22,Provisional
2019-08,2019-12,Long-term migrant,Departures,TOTAL,20-24 years,1220,32,Provisional
2019-08,2019-12,Long-term migrant,Departures,TOTAL,25-29 years,1399,34,Provisional
2019-08,2019-12,Long-term migrant,Departures,TOTAL,30-34 years,861,27,Provisional
2019-08,2019-12,Long-term migrant,Departures,TOTAL,35-39 years,540,21,Provisional
2019-08,2019-12,Long-term migrant,Departures,TOTAL,40-44 years,369,17,Provisional
2019-08,2019-12,Long-term migrant,Departures,TOTAL,45-49 years,261,17,Provisional
2019-08,2019-12,Long-term migrant,Departures,TOTAL,50-54 years,225,17,Provisional
2019-08,2019-12,Long-term migrant,Departures,TOTAL,55-59 years,190,17,Provisional
2019-08,2019-12,Long-term migrant,Departures,TOTAL,5-9 years,356,16,Provisional
2019-08,2019-12,Long-term migrant,Departures,TOTAL,60-64 years,146,14,Provisional
2019-08,2019-12,Long-term migrant,Departures,TOTAL,65-69 years,98,12,Provisional
2019-08,2019-12,Long-term migrant,Departures,TOTAL,70-74 years,56,9,Provisional
2019-08,2019-12,Long-term migrant,Departures,TOTAL,75-79 years,31,7,Provisional
2019-08,2019-12,Long-term migrant,Departures,TOTAL,80-84 years,21,5,Provisional
2019-08,2019-12,Long-term migrant,Departures,TOTAL,85-89 years,10,3,Provisional
2019-08,2019-12,Long-term migrant,Departures,TOTAL,90+ years,1,1,Provisional
2019-08,2019-12,Long-term migrant,Departures,TOTAL,TOTAL,6937,122,Provisional
2019-08,2019-12,Long-term migrant,Net,Female,0-4 years,177,17,Provisional
2019-08,2019-12,Long-term migrant,Net,Female,10-14 years,214,12,Provisional
2019-08,2019-12,Long-term migrant,Net,Female,15-19 years,75,19,Provisional
